industry,label,ind_level
00,All NAICS sectors,A
11,"Agriculture, Forestry, Fishing and Hunting",N
21,"Mining, Quarrying, and Oil and Gas Extraction",N
22,Utilities,N
23,Construction,N
31-33,Manufacturing,N
42,Wholesale Trade,N
44-45,Retail Trade,N
48-49,Transportation and Warehousing,N
51,Information,N
52,Finance and Insurance,N
53,Real Estate and Rental and Leasing,N
54,"Professional, Scientific, and Technical Services",N
55,Management of Companies and Enterprises,N
56,Administrative and Support and Waste Management and Remediation Services,N
61,Educational Services,N
62,Health Care and Social Assistance,N
71,"Arts, Entertainment, and Recreation",N
72,Accommodation and Food Services,N
81,Other Services (except Public Administration),N
92,Public Administration,N
99,Federal Government,N
